samsunggalaxys4, 2600, samsungGALAXY S4(I9500)
hm, 2000, HM
xiaomim3, 3600, xiaomiM3(Mi3)
vivox3, 2000, vivo X3
samsungi8552, 2000, samsungI8552(GALAXY Win)
xiaomi2s, 2000, xiaomi手机2S(16GB)
meizumx2, 1800, meizuMX2
huaweig520, 1700, huaweiG520
coolpad8085, 1900, coolpad8085
samsunggalaxys3, 2100, samsungGALAXY S3(I9300)
oppofind5, 2500, OPPO Find 5
huaweiascendp6, 2000, huaweiAscend P6
samsungs7562, 1500, samsungS7562
xiaomi2a, 2030, xiaomi手机2A
samsunggalaxynoteiin7100, 3100, samsungGALAXY Note II N7100(16GB)
huaweic8815, 2100, huaweiC8815
n6, 2500, 北斗青葱N6
samsungi9128, 2100, samsungI9128
gioneev182, 4000, gioneeV182
oppofind532gb, 2510, OPPO Find 5 32GB
oppofind5, 2510, OPPO Find 5 电信版
lenovoa390t, 1500, lenovoA390t
s1, 1800, 朵唯S1
vivoy19t, 2000, vivo Y19t
sonyxperiazl36h, 2330, sonyXperia Z L36h
samsungi879, 2100, samsungI879
samsungi8268, 1700, samsungI8268
n6, 2500, 北斗青葱N6(勇气版)
samsungi8558, 2000, samsungI8558(GALAXY Win)
samsungi9152, 2600, samsungI9152(GALAXY MEGA 5.8双卡版)
samsungs7572, 1500, samsungS7572
sonys39h, 2330, sonyS39h(Xperia C)
lenovoa830, 2250, lenovoA830
lenovoa278t, 1500, lenovoA278t
oppofind7, 4000, OPPO Find 7
gioneee5, 2000, gioneeE5
samsunggalaxynote3, 3200, samsungGALAXY Note 3(GALAXY Note III)
n1, 2500, 青橙N1一九四九
coolpads8720, 2000, coolpad炫影S 8720
samsungs7898, 1500, samsungS7898
htcone, 2300, 新HTC One(32GB)
oppor819t, 2000, OPPO R819T
samsungi959, 2600, samsungI959(GALAXY S4电信版)
samsungi9200, 3200, samsungI9200(GALAXY MEGA 6.3/16GB)
vivoy11, 1700, vivo Y11
sonyxl39h, 3000, sonyXL39h(Xperia Z Ultra)
coolpad7269, 1700, coolpad7269
sonyxperiaz1l39h, 3000, sonyXperia Z1 L39h
lenovos820, 2000, lenovoS820
samsungi939d, 2100, samsungI939D (GALAXY SIII电信双卡版)
vivos9, 2000, vivo S9
gioneee6, 2000, gioneeE6
gioneew800, 2300, gioneeW800
huaweiascendg700, 2150, huaweiAscend G700
gioneegn705t, 1800, gioneeGN705T
samsungp709, 2600, samsungP709(GALAXY MEGA 5.8电信版)
coolpad8012, 1250, coolpad8012
coolpad5950, 2500, coolpad5950
samsungi8262d, 1700, samsungI8262D
lenovoa630t, 1700, lenovoA630T
coolpadmaxii7296, 2500, coolpadMAX II 7296
lenovoa656, 2000, lenovoA656
lenovoa766, 2000, lenovoA766
oppoulike2, 2020, OPPO Ulike2(U705t)
coolpad7295, 2000, coolpad7295青春版
oppor809t, 2000, OPPO R809T
huaweiy500, 1730, huaweiY500
samsungs7568, 1500, samsungS7568
zteu807, 1600, zteU807
vivox5, 2500, vivo X5
coolpad8185, 1700, coolpad8185
htcones, 1650, HTC One S
oppox907, 1530, OPPO X907(Finder)
lenovoa820, 2000, lenovoA820
huaweic8813q, 1700, huaweiC8813Q
samsungi939, 2100, samsungI939(GALAXY SIII电信版)
samsunggalaxynoteiin7102, 3100, samsungGALAXY Note II N7102(双卡双待版)
samsungi9158, 2600, samsungI9158(GALAXY MEGA 5.8移动版)
motorolaxt788, 1735, motorolaXT788
gioneegn708t, 2100, gioneeGN708T
oppou2s, 3000, OPPO U2S(U707T)
w6500, 2400, 飞利浦W6500
coolpad8195, 2000, coolpad8195
thlt3, 2000, ThL T3
lenovophones890, 2250, lenovo S890
coolpad7268, 1700, coolpad7268
oppor815t, 1700, OPPO R815T
samsungp729, 3200, samsungP729(GALAXY MEGA 6.3电信版)
samsunggalaxys4zoomc101, 2330, samsungGALAXY S4 Zoom C101
zteu930, 1600, zteU930
huaweiy300c, 1730, huaweiY300C
k-toucht780, 1420, k-touchT780
lenovok900, 2500, lenovoK900(16GB)
gioneee3t, 1800, gioneeE3T
100b, 2200, 百分之百100B(尊享版)
konkav976, 2000, konkaV976(色界3)
motorolaxt531, 1500, motorolaXT531
k-touchu6, 1800, k-touchU6
htcone802d, 2300, 新HTC One 802d(电信版)
alpsg4, 3000, alpsG4高配版
huaweiascendp6, 2000, huaweiAscend P6(电信版)
coolpadsii, 2500, coolpad炫影SII
konkaw900, 1500, konkaW900
sonyxperiavclt25c, 1750, sonyXperia VC LT25c
huaweia199, 2100, huaweiA199
liquids2, 3300, 宏Liquid S2
samsungi739, 1500, samsungI739(GALAXY Trend II)
sonyxperiasllt26ii, 1750, sonyXperia SL LT26ii
huaweig606, 2150, huaweiG606
thl, 2000, ThL 美猴王(W11)
samsungi829galaxystyleduos, 1700, samsungI829 GALAXY Style Duos
zteu808, 1650, zteU808
coolpad7295, 2000, coolpad7295
oppor823t, 1710, OPPO R823T
samsungi759, 1500, samsungI759
htct329t, 1650, HTC T329t
samsungi9082galaxygrandduos, 2100, samsungI9082 GALAXY Grand DUOS(联通定制版)
lenovophonep770, 3500, lenovo P770
samsunggalaxynoteii, 3100, samsungGALAXY Note II(32GB)
coolpad8190q, 1650, coolpad8190Q
samsungi9108, 1650, samsungI9108(GALAXY SII移动版)
w8510, 3300, 飞利浦W8510
vivos7t, 1500, vivo S7t
samsungi9105p, 1650, samsungI9105P(GALAXY SII Plus)
samsungi9128v, 2100, samsungI9128V
samsungs7562i, 1500, samsungS7562i
samsungi9505galaxys4, 2600, samsungI9505 GALAXY S4(四核4G版)
samsungw789, 1500, samsungW789
hisensemirau970, 2000, hisenseMIRA U970
mc002, 3000, 大可乐MC002
zteu930hd, 1800, zteU930HD
huaweig610s, 2150, huaweiG610S
xiaomi2s, 2000, xiaomi手机2S(电信版32GB)
sonym35h, 2370, sonyM35h
vivoxplay, 3400, vivo Xplay(16GB)
hisensemiraeg970, 2000, hisenseMIRA EG970
xiaomi2s, 2000, xiaomi手机2S(32GB)
zteu887, 2000, zteU887
lenovophonea800, 2000, lenovo A800
htct327t, 1650, HTC T327t
lenovoa630, 2500, lenovoA630
oppoulike2, 2020, OPPO Ulike2(U705W)
htcdesire609d, 1860, HTC Desire 609d
lenovoa376, 1500, lenovoA376
samsungi9220galaxynote, 2500, samsungI9220 GALAXY Note
samsungs5830i, 1350, samsungS5830i(GALAXY Ace)
vivoe5, 2500, vivo E5
huaweig525, 1700, huaweiG525
sonyxperiatxlt29i, 1700, sonyXperia TX LT29i
huaweig520s, 1700, huaweiG520S
gioneegn137, 1700, gioneeGN137
lenovos750, 2000, lenovoS750
meizumx, 1700, meizuMX四核(16G)
coolpad90, 1650, coolpad 炫影90(8190)
k-touchv8, 1820, k-touchV8(大黄蜂II)
opporealr817, 1710, OPPO Real R817
lenovos820e, 2000, lenovoS820e(电信版)
motoroladefy+, 1650, motorolaDefy+(ME525+)
motorolamt917, 1780, motorolaMT917(移动Droid RAZR)
w930, 2000, 飞利浦W930
k-touchv9, 1800, k-touchV9(大黄蜂II勇气版)
sonyxperials36h, 1700, sonyXperia L S36h
vivoxplaytd, 3400, vivo Xplay TD版(16GB)
samsungi8160, 1500, samsungI8160(GALAXY Ace 2)
htconemini, 1800, HTC One mini(M4)
lenovoa288t, 1500, lenovoA288t
konkav980, 2000, konkaV980
zteu985, 1800, zteU985(Grand Era)
lgg2, 3000, LG G2
k-touchs5t, 2000, k-touchS5t
gioneex817, 3200, gioneeX817
hikex1, 2300, HIKe X1
lenovophonep700i, 2500, lenovo P700i
coolpad9120, 1700, coolpad9120(大观S)
vivoy3t, 1500, vivo Y3t
coolpad8070d, 1800, coolpad8070D
samsungi9502, 2600, samsungI9502(GALAXY S4联通双卡版32GB)
z3, 3200, 长虹Z3
c770, 1700, 长虹C770
lenovophones850e, 1760, lenovo S850e
sonyxperiavlt25i, 1750, sonyXperia V LT25i
zteu795, 1600, zteU795
samsunggalaxys5, 2600, samsungGALAXY S5
coolpad8122, 1500, coolpad8122
samsungb9388, 1820, samsungB9388
konkav927, 1500, konkaV927
gioneegn868, 1600, gioneeGN868
coolpad7230, 1400, coolpad7230
gioneegn305, 1500, gioneeGN305
gioneegn705w, 1800, gioneeGN705W
lenovophones870e, 2000, lenovo S870e
ztev955, 2000, zteV955
d8, 1900, 朵唯D8
coolpad7260, 1400, coolpad7260
vivox1, 2000, vivo X1
vegairona870, 2150, 泛泰Vega Iron A870
lgnexus4, 2100, LG Nexus 4(16GB)
motorolaxt702, 1390, motorolaXT702(milestone)
k-touchc960t, 1500, k-touchC960t
hisenseu960q, 2000, hisenseU960Q
gioneegn105, 1300, gioneeGN105
vivoy1, 1350, vivo Y1
thlw8, 2000, ThL W8青春版
mirror, 2630, 海尔Mirror
sonyxperiamdual, 1750, sonyXperia M Dual
gioneegn708w, 2100, gioneeGN708W(风华2)
q1, 2000, 北斗小辣椒Q1(四核版)
i96t, 1800, 酷比i96T
coolpad8180, 1500, coolpad8180
huaweiu8836d, 1930, huaweiU8836D(闪耀)
gioneegn700w, 1800, gioneeGN700W
d600, 1400, 朵唯D600
gioneegn168t, 1500, gioneeGN168T
tclj305t, 1500, TCL J305T
konkae900, 1500, konkaE900
coolpad7011, 1300, coolpad7011
s610t, 1600, 酷比S610T
hisensee956, 2000, hisenseE956
t600, 2000, 纽曼大熊猫 T600
tclj320d, 1500, TCL J320D
coolpadw708, 1300, coolpadW708
huaweig330c, 1500, huaweiG330C(C8825D)
huaweit8620, 1250, huaweiT8620
gioneegn135, 1700, gioneeGN135
k-touchw68, 1500, k-touchW68
i96, 1800, 酷比i96
sharpsh530u, 1950, sharpSH530U
gioneec900, 1300, gioneeC900
tclw969, 1300, TCL W969
htconex32gb, 1800, HTC One X(S720e) 32GB
ztev987, 2500, zteV987
lenovoa760, 2000, lenovoA760
samsungi8190n, 1500, samsungI8190N(GALAXY S3 Mini)
samsunggalaxynoteiin7108, 3100, samsungGALAXY Note II N7108(移动版)
samsungi9190galaxys4mini, 1900, samsungI9190 GALAXY S4 Mini
hisensemirat970, 2000, hisenseMIRA T970
sonyxperiaslt26i, 1750, sonyXperia S LT26i
zteu956, 2500, zteU956
huaweiascendmate, 4050, huaweiAscend mate
lenovos868t, 2000, lenovoS868T
gioneee3, 1800, gioneeE3
samsungi9502, 2600, samsungI9502(GALAXY S4联通双卡版16GB)
samsungw999, 1500, samsungW999
samsungi919ugalaxysduos, 1650, samsungI919U GALAXY S Duos
vivos7, 1500, vivo S7
sonyxperiaacroslt26w, 1840, sonyXperia acro S LT26w
z5mini, 2300, 努比亚Z5 Mini
tclidolx, 2000, TCL Idol X(S950)
samsungi9308, 2100, samsungI9308(GALAXY SIII移动版)
samsungi9260, 2100, samsungI9260(GALAXY Premier)
lenovoa670t, 1700, lenovoA670T
lge985, 3140, LG E985(Optimus G Pro)
n890v, 2100, 夏新N890 大V国王版
samsungi9300, 2100, samsungI9300(GALAXY SIII 32GB国际版)
coolpad5891, 2000, coolpad5891
samsunggalaxynoteiin719, 3100, samsungGALAXY Note II N719(电信版)
htcdesire606w, 1860, HTC Desire 606w
htconemax, 3300, HTC One Max(T6/LTE-A)
htcone, 2300, HTC One(M7/16GB)
lenovop780, 4000, lenovoP780
sonyxperiazrm36h, 2300, sonyXperia ZR M36h
htcdesire608t, 1860, HTC Desire 608t
meitukiss, 1800, Meitu Kiss
huaweig610t, 2150, huaweiG610T(移动版)
samsungi9268, 2100, samsungI9268(GALAXY Premier)
xiaomi2s, 2000, xiaomi手机2S(电信版16GB)
a3, 3000, 路虎A3
motorolamotox, 2200, motorolaMOTO X
coolpad8076, 1500, coolpad8076
zteu988s, 2300, zteU988S(Geek移动版)
htcdesirec, 1230, HTC Desire C(A320e)
sonyxperiaplt22i, 1305, sonyXperia P LT22i
huaweiascendd2, 3000, huaweiAscend D2(电信版)
huaweiascendg700t, 2150, huaweiAscend G700T
oppor811, 1520, OPPO R811
zteu819, 2000, zteU819
meizumx2re16gb, 1800, meizuMX2 RE认证版 16GB
samsungi9192, 1900, samsungI9192(GALAXY S4 Mini双卡版)
htcbutterflyx920e, 2020, HTC Butterfly X920e
samsungi9082i, 2100, samsungI9082i(GALAXY GRAND DUOS)
samsungi9300, 2100, samsungI9300联通版(GALAXY S3联通版)
samsungi9250, 1750, samsungI9250(GALAXY Nexus)
samsungi9208, 3200, samsungI9208(GALAXY MEGA 6.3移动版)
lenovos920, 2250, lenovoS920
ztegeekv975, 2300, zteGeek V975
lenovoa820e, 2000, lenovoA820e
huaweiascendp6, 2000, huaweiAscend P6(移动版)
samsunggalaxynoteiin7108d, 3100, samsungGALAXY Note II N7108D(TD-LTE版)
lenovoa308t, 1500, lenovoA308T
samsungi919, 1650, samsungI919(GALAXY S Duos)
samsungb9062, 1650, samsungB9062
samsungi8258, 1500, samsungI8258
samsungi9508, 2600, samsungI9508(GALAXY S4移动版)
oppou701t, 1710, OPPO U701T
coolpad8730, 2000, coolpad8730
lenovophonek860i, 2250, lenovo K860i
htcone802t, 2300, 新HTC One 802t(移动版)
oppor821t, 1700, OPPO R821T
samsungi9305, 2100, samsungI9305(GALAXY SIII LTE)
samsungw899, 1500, samsungW899(臻尊)
samsungw899, 1500, samsungW899(铂金版)
vivov1, 1500, vivo V1
sonyxperiajst26i, 1750, sonyXperia J ST26i
samsungi910016gb, 1650, samsungI9100(GALAXY SII)16GB
huaweic8813, 1700, huaweiC8813
samsungi8250, 1650, samsungI8250
vivoxplay, 3400, vivo Xplay(32GB)
huaweiy320c, 1350, huaweiY320C
sonyxperiaust25i, 1320, sonyXperia U ST25i
sonyxperiaionlt28i, 1900, sonyXperia ion LT28i
ztev956, 1600, zteV956
lenovoa658t, 2000, lenovoA658t
coolpad5879, 2000, coolpad5879
samsungb9120, 1500, samsungB9120(大器2)
lenovoa590, 2000, lenovoA590
huaweic8813d, 1700, huaweiC8813D
huaweiu8860, 1930, huaweiU8860(荣耀 Honor)
coolpad9070+xo, 2900, coolpad9070+XO
zteu817, 1600, zteU817
zten919, 2500, zteN919
htcbutterflys, 3200, HTC Butterfly S
samsungi535, 2050, samsungI535(GALAXY SIII Verizon版)
huaweiascendd2, 3000, huaweiAscend D2(移动版)
sonyxperiatlt30p, 1850, sonyXperia T LT30p
vivox1s, 2000, vivo X1S
htconesc, 1800, HTC One SC(T528d)
lenovoa390, 1500, lenovoA390
coolpadair9150, 1700, coolpadAir 9150
m2, 2000, 北斗小辣椒M2
lenovoa398t, 2000, lenovoA398T
samsungs5831i, 1350, samsungS5831i
samsungm110s, 1500, samsungM110S(Galaxy S)
coolpad5890, 1700, coolpad 炫影5890
n1, 2500, 青橙N1速
coolpad5930, 2000, coolpad5930
lenovophonep700, 2500, lenovo P700
motorolaxt928, 1735, motorolaXT928(电信版Droid RAZR)
htct329d, 1650, HTC T329d
lge975, 2100, LG E975(Optimus G)
coolpad5876, 1700, coolpad5876
meizumx2td, 1750, meizuMX2 TD(16GB)
tiger, 2200, 欧恩Tiger
zteu830, 1500, zteU830
htconex, 1800, HTC One X(16GB)
samsungi619, 1300, samsungI619(GALAXY Ace Dear电信版)
samsungi699, 1500, samsungI699(GALAXY Trend)
samsungi9295galaxys4active, 2600, samsungI9295 GALAXY S4 Active(三防版)
sonyxperiagost27i, 1265, sonyXperia go ST27i
zteu880, 1250, zteU880
motorolaxt685, 1550, motorolaXT685(锋丽)
c3, 2000, 卓普小姿C3
padfoneinfinitya80, 2400, 华硕PadFone Infinity A80(32GB)
huaweig610c, 2150, huaweiG610C
xiaomim1, 1930, xiaomiM1(MIUI)
motorolaxt910, 1780, motorolaXT910(Droid RAZR/锋芒)
htcz510d, 1500, HTC Z510d(双擎S)
htcv, 1650, HTC 新渴望V(T328w)
huaweit9200, 1670, huaweiT9200(Ascend P1移动版)
lgnexus4, 2100, LG Nexus 4(8GB)
huaweit8951, 1700, huaweiT8951(G510移动版)
k-touchu86, 1600, k-touchU86(大黄蜂KISS)
huaweit8950n, 1930, huaweiT8950N
ghongv10, 2700, GHONGV10手机
zten909, 1800, zteN909
ztegrands, 1780, zteGrand S(电信版)
w6, 2000, 长虹W6
v5, 2400, 凡尔纳V5
ztev818, 1500, zteV818
huaweiy220s, 1350, huaweiY220S
sonyxperiaionlt28h, 1840, sonyXperia ion LT28h
htcone, 2300, 新HTC One(单卡版16GB)
samsungi9050, 1650, samsungI9050
samsunggalaxynoteiin7102, 3100, samsungGALAXY Note II N7102 (联通版 32GB)
samsungi929, 1800, samsungI929(GALAXY SII Duos)
samsungi9103galaxyr, 1650, samsungI9103 GALAXY R
sonyxperiasolamt27i, 1320, sonyXperia sola MT27i
gioneegn600, 1600, gioneeGN600
sonyxperiaspm35c, 2300, sonyXperia SP M35c
samsungs6812c, 1300, samsungS6812C(GALAXY Fame)
z5, 2300, 努比亚Z5(16GB)
a9800, 2000, 长虹A9800
htconesu, 1800, HTC One SU(T528W)
lenovoa670t, 1700, lenovoA670t
samsunggalaxys4, 2600, samsungGALAXY S4(I9508C/TD-LTE版)
a860l, 3140, 泛泰A860L
htconest, 1800, HTC One ST(T528t)
lgf200, 2150, LG F200(Optimus Vu II)
lenovophones880i, 2250, lenovo S880i
mc001, 2450, 大可乐MC001手机
k-touchs5, 2000, k-touchS5
zten980, 2500, zteN980
k-touchu81t, 1700, k-touchU81t
konkak5, 2200, konka 凡高秘语K5
k-touchc666t, 1420, k-touchC666t
samsungi779, 1650, samsungI779
samsungs6818, 1300, samsungS6818(GALAXY Fame)
samsungi9008l, 1500, samsungI9008L
huaweiy310, 1500, huaweiY310
vertuti, 1250, Vertu TI
coolpad5210d, 1300, coolpad5210D
k-toucht586, 1200, k-touchT586
htconext, 1800, HTC One XT(S720t)
lenovophones720, 2000, lenovo S720
coolpad8150d, 1500, coolpad8150D
k-toucht619+, 1420, k-touchT619+
coolpad7295+, 2000, coolpad7295+
am788, 1850, 阿斯顿马丁AM788
lenovophonea298t, 1500, lenovo A298t
motorolaxt800, 1390, motorolaXT800
coolpad8150, 1700, coolpad8150
tclp606t, 1800, TCL P606T
zteu793, 1150, zteU793
oppofind5, 2500, OPPO Find 5(移动版)
zteu950, 2000, zteU950
motorolamt788, 1735, motorolaMT788
gioneegn878, 2100, gioneeGN878
hisenseeg929, 1420, hisenseEG929
coolpads+, 2000, coolpad炫影S+ (8720Q)
motorolamotox, 2200, motorolaMOTO X 开发者版
coolpad7500, 1300, coolpad7500
huaweig330d, 1500, huaweiG330D (U8825D)
huawei+g600, 1930, huawei荣耀+ G600(联通版U8950D)
huawei+g600t, 1930, huawei荣耀+ G600T(移动版T8950)
meizumx232gb, 1800, meizuMX2 32GB
huaweiascendp2, 2420, huaweiAscend P2
samsungi8262, 1800, samsungI8262(GALAXY Core)
oppofind5mini, 2500, OPPO Find 5 Mini
hisensee820, 1500, hisenseE820
n3, 2500, 北斗青葱N3
gioneegn205, 1550, gioneeGN205
onetouchidolx, 2000, 阿尔卡特One Touch Idol X
samsungi579, 1350, samsungI579
samsungi9001, 1650, samsungI9001(GALAXY S Plus)
samsungi909, 1500, samsungI909(电信版SPhone)
samsungi9228, 2500, samsungI9228(移动版GALAXY Note)
xiaomi1s, 1930, xiaomi手机1S (电信官翻版)
samsungi9150, 2600, samsungI9150(GALAXY MEGA 5.8)
lenovophonek860, 2250, lenovo K860
k-touche88, 2000, k-touchE88
huawei+g600c, 1930, huawei荣耀+ G600C(电信版C8950D)
z5, 2300, 努比亚Z5(32GB)
htcz710t, 1520, HTC 灵感 Z710t(移动版)
htcvc, 1650, HTC 新渴望VC(T328d)
htcvt, 1650, HTC 新渴望VT(T328t)
sonyxperianeolmt25i, 1460, sonyXperia neo L MT25i
lenovophonea789, 2000, lenovo A789
vivos12, 2000, vivo S12
opporealr801, 1500, OPPO Real R801
hisenset930, 1630, hisenseT930
motorolame863, 1500, motorolaME863(里程碑3)
vivos6, 1880, vivo S6
huaweig520, 1700, huaweiG520(联通版)
lgp880, 2150, LG P880(Optimus 4X HD)
coolpad8020, 1600, coolpad8020
lenovophonea798t, 2000, lenovo A798t
g1, 2000, 果冻G1
coolpad5855, 1400, coolpad5855
ztegrandmemo, 3200, zteGrand Memo
ztev967s, 2500, zteV967S
k2, 3000, 纽曼锋芒K2(16GB)
huaweic8812, 1350, huaweiC8812
motorolamt887, 1750, motorolaMT887(RAZR V移动版)
vivox3, 2000, vivo X3联通版
lenovophonea765e, 1700, lenovo A765e
hikepandora2, 2550, HIKe PANDORA 2
f13, 2500, 北斗小旋风F13(标配版)
zten983, 2070, zteN983
motorolaxt882, 1880, motorolaXT882
huaweiascendp1, 1670, huaweiAscend P1(U9200)
vivos3, 1500, vivo S3
oppou701, 1710, OPPO U701
lgp765, 2100, LG P765(Optimus L9)
k-toucht6, 1800, k-touchT6
coolpad9960, 2000, coolpad9960(大观HD)
htce1, 2100, HTC E1(603e)
zten986, 2300, zteN986
liquids1, 2400, 宏Liquid S1
d50, 1500, 朵唯D50
samsungs6812, 1300, samsungS6812(GALAXY Fame)
samsunggalaxynoteiilten7105, 3100, samsungGALAXY Note II LTE N7105
samsungi9070, 1500, samsungI9070(GALAXY S Advanced)
samsungi8150, 1500, samsungI8150(GALAXY W)
samsungs7566, 1500, samsungS7566
samsungi9003, 1650, samsungI9003(GALAXY S)
xiaomi2s, 2000, xiaomi手机2S(联通版)
xiaomi1s, 1930, xiaomi手机1S(官翻版)
2x, 3000, 大可乐2X
meizumx2td, 1750, meizuMX2 TD(32GB)
d833, 2400, 飞利浦D833
lgp705, 1700, LG P705(Optimus L7 )
lenovophonea660, 1500, lenovo乐phone A660
lenovoa698t, 1500, lenovoA698t
konkav981, 2200, konka凡高V981
lenovoa706, 2000, lenovoA706
vivos11, 2000, vivo S11
thlw9, 2300, ThL W9超越
coolpad9900, 1800, coolpad9900
coolpad8010, 1200, coolpad8010
coolpad8020+, 1250, coolpad8020+
coolpad7235, 1500, coolpad7235
huaweiu8833, 1730, huaweiU8833(Y300)
k-toucht789, 1500, k-touchT789
t939, 2000, 飞利浦T939
htct327d, 1650, HTC T327d
htct329w, 1650, HTC T329w
samsungi9100g, 1650, samsungI9100G
lglu6200, 1830, LG LU6200(Optimus LTE)
samsungi9205, 3200, samsungI9205(GALAXY MEGA 6.3)
coolpad8950, 1900, coolpad8950
gioneee6mini, 3000, gioneeE6 Mini
oppofind3, 1520, OPPO Find 3(X905)
motorolaxt889, 1780, motorolaXT889(RAZR V电信版)
motorolaxt910maxx, 3300, motorolaXT910 MAXX(Droid RAZR MAXX)
coolpad8060, 1600, coolpad8060
mc003, 4000, 大可乐MC003
htcincredibles, 1450, HTC  Incredible S(G11)
zteu960s3, 2000, zteU960s3
lenovoa66, 1500, lenovoA66
huaweiy320, 1350, huaweiY320(联通版)
htcevo4g, 1500, HTC EVO 4G(A9292 S版)
j4, 2900, 云狐J4
zten881f, 2000, zteN881F
huaweis8600spark, 2000, huaweiS8600 Spark(火花)
motorolaxt615, 1390, motorolaXT615
d300, 1500, 朵唯D300
t9600, 2400, 波导T9600
k-touchw95, 2000, k-touchW95
alteka14leo, 1020, Altek  A14 LEO
gioneegn180, 2500, gioneeGN180
coolpad5910, 1700, coolpad5910
zteu880f1, 1600, zteU880F1
huaweiy220t, 1500, huaweiY220T
d9, 1800, 朵唯D9
ztegrands, 1780, zteGrand S
htcsensation, 1520, HTC Sensation (G14)
huaweic8860e, 1930, huaweiC8860E(Honor/荣耀 电信版)
htcz560e, 1650, HTC Z560e(One S微博版)
coolpad8050, 1300, coolpad8050
gioneegn787, 2000, gioneeGN787
gioneegn818t, 1800, gioneeGN818T
huaweit8833, 1730, huaweiT8833
huaweiascendg350, 1730, huaweiAscend G350
a2, 3000, 路虎A2
huaweiascendg710, 2150, huaweiAscend G710
x1, 1800, 小宇宙X1
zteu791, 1150, zteU791
hisensee912s, 1300, hisenseE912S
motoroladroidmini, 2000, motorolaDroid Mini
gioneec620, 3000, gioneeC620
lenovoa519, 2000, lenovoA519
samsungs5820, 1500, samsungS5820
samsungs5838, 1350, samsungS5838
z7, 4000, 努比亚Z7
lenovophones880, 2250, lenovo S880
magic1, 1700, 迪士尼Magic 1
